variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
la-semaine-juridique-5-editions::print,LA SEMAINE JURIDIQUE (5 EDITIONS),la-semaine-juridique-5-editions,Print,Hebdomadaire,25000,210 x 297,,,,11482 €,7808 €
la-semaine-juridique-edition-administrations-et-collectivit-s-territoriales::print,LA SEMAINE JURIDIQUE (EDITION ADMINISTRATIONS ET COLLECTIVITÉS TERRITORIALES),la-semaine-juridique-edition-administrations-et-collectivit-s-territoriales,Print,Hebdomadaire,1600,210 x 297,,,,2230 €,1516 €
la-semaine-juridique-edition-generale::print,LA SEMAINE JURIDIQUE (EDITION GENERALE),la-semaine-juridique-edition-generale,Print,Hebdomadaire,5700,210 x 297,,,,3695 €,2513 €
la-semaine-juridique-edition-notariale-et-immobili-re::print,LA SEMAINE JURIDIQUE (EDITION NOTARIALE ET IMMOBILIÈRE),la-semaine-juridique-edition-notariale-et-immobili-re,Print,Hebdomadaire,10000,210 x 297,,,,4025 €,2737 €
la-semaine-juridique-edition-sociale::print,LA SEMAINE JURIDIQUE (EDITION SOCIALE),la-semaine-juridique-edition-sociale,Print,Hebdomadaire,2800,210 x 297,,,,2380 €,1618 €
la-semaine-juridique-entreprise-affaire::print,LA SEMAINE JURIDIQUE (ENTREPRISE & AFFAIRE),la-semaine-juridique-entreprise-affaire,Print,Hebdomadaire,2980,210 x 297,,,,2980 €,2026 €
la-semaine-veterinaire::print,LA SEMAINE VETERINAIRE,la-semaine-veterinaire,Print,Hebdomadaire (chaque vendredi),3400,210 x 297,,,,4800 €,3264 €
la-toque-magazine::print,LA TOQUE MAGAZINE,la-toque-magazine,Print,Mensuel,40000,200 x 270,,,,10500 €,7140 €
la-tribune-de-l-assurance::print,LA TRIBUNE DE L'ASSURANCE,la-tribune-de-l-assurance,Print,Mensuel,12600,220 x 280,,,,6200 €,4216 €
la-tribune-des-auto-ecoles::print,LA TRIBUNE DES AUTO-ECOLES,la-tribune-des-auto-ecoles,Print,Mensuel,4800,210 x 297,,,,2740 €,1863 €
la-tribune-du-reseau-presse::print,LA TRIBUNE DU RESEAU PRESSE,la-tribune-du-reseau-presse,Print,Mensuel,8000,210 x 280,,,,4040 €,2747 €
laiteries-mag::print,LAITERIES MAG,laiteries-mag,Print,Trimestriel,3000,200 x 285,,,,2615 €,1778 €
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,le-batiment-artisanal,Print,Mensuel,57982,237 x 300,,,,12000 €,8160 €
le-bijoutier::print,LE BIJOUTIER,le-bijoutier,Print,Mensuel,8000,210 x 280,,,,3250 €,2210 €
le-chef::print,LE CHEF,le-chef,Print,9 Numéros / an,20000,210 x 297,,,,7100 €,4828 €
le-chirurgien-dentiste-de-france::print,LE CHIRURGIEN DENTISTE DE FRANCE,le-chirurgien-dentiste-de-france,Print,Hebdomadaire,6515,210 x 270,,,,4680 €,3182 €
le-concours-medical::print,LE CONCOURS MEDICAL,le-concours-medical,Print,Mensuel,6000,210 x 270,,,,6300 €,4284 €
le-courrier-de-la-transplantation::print,LE COURRIER DE LA TRANSPLANTATION,le-courrier-de-la-transplantation,Print,Trimestriel,2800,,,,,8700 €,5916 €
le-courrier-du-meuble-et-de-l-habitat::print,LE COURRIER DU MEUBLE ET DE L'HABITAT,le-courrier-du-meuble-et-de-l-habitat,Print,Mensuel,4000,230 x 300,,,,4950 €,3366 €
le-journal-de-l-automobile::print,LE JOURNAL DE L'AUTOMOBILE,le-journal-de-l-automobile,Print,Mensuel,12900,210 x 297,,,,5190 €,3529 €
le-journal-de-la-marine-marchande::print,LE JOURNAL DE LA MARINE MARCHANDE,le-journal-de-la-marine-marchande,Print,Trimestriel,24500,210 x 297,,,,5000 €,3400 €
le-journal-des-flottes::print,LE JOURNAL DES FLOTTES,le-journal-des-flottes,Print,Trimestriel,16200,210 x 297,,,,7900 €,5372 €
le-journal-des-fluides::print,LE JOURNAL DES FLUIDES,le-journal-des-fluides,Print,Bimestriel,7000,210 x 297,,,,5475 €,3723 €
le-journal-des-patissiers::print,LE JOURNAL DES PATISSIERS,le-journal-des-patissiers,Print,Mensuel,10000,230 x 300,,,,4200 €,2856 €
le-journal-du-poids-lourd::print,LE JOURNAL DU POIDS LOURD,le-journal-du-poids-lourd,Print,4 Numéros / an,16000,210 x 297,,,,5890 €,4005 €
le-journal-du-village-de-la-justice::print,LE JOURNAL DU VILLAGE DE LA JUSTICE,le-journal-du-village-de-la-justice,Print,Trimestriel,16000,210 x 297,,,,2500 €,1700 €
le-journal-du-village-des-notaires::print,LE JOURNAL DU VILLAGE DES NOTAIRES,le-journal-du-village-des-notaires,Print,6 Numéros / an,5000,210 x 297,,,,1700 €,1156 €
le-journal-du-vrac::print,LE JOURNAL DU VRAC,le-journal-du-vrac,Print,Bimestriel,12000,210 x 297,,,,7052 €,4795 €
le-lien-horticole::print,LE LIEN HORTICOLE,le-lien-horticole,Print,Mensuel,3500,220 x 285,,,,4200 €,2856 €
le-marin::print,LE MARIN,le-marin,Print,Hebdomadaire,10830,207 x 278,,,,5900 €,4012 €
le-monde-du-surgele::print,LE MONDE DU SURGELE,le-monde-du-surgele,Print,Mensuel,10200,206 x 270,,,,6487 €,4411 €
le-moniteur-des-pharmacies::print,LE MONITEUR DES PHARMACIES,le-moniteur-des-pharmacies,Print,Hebdomadaire (chaque samedi),13000,230 x 285,,,,10900 €,7412 €
le-nouvel-economiste::print,LE NOUVEL ECONOMISTE,le-nouvel-economiste,Print,Hebdomadaire,25000,,,,,10900 €,7412 €
le-papetier-de-france::print,LE PAPETIER DE FRANCE,le-papetier-de-france,Print,Mensuel,7500,210 x 270,,,,7475 €,5083 €
le-pharmacien-de-france::print,LE PHARMACIEN DE FRANCE,le-pharmacien-de-france,Print,Mensuel,12500,230 x 297,,,,7000 €,4760 €
le-podologue::print,LE PODOLOGUE,le-podologue,Print,Trimestriel,14000,170 x 240,,,,3550 €,2414 €
le-point-veterinaire::print,LE POINT VETERINAIRE,le-point-veterinaire,Print,Mensuel,3212,,,,,5250 €,3570 €
le-praticien-en-anesthesie-reanimation::print,LE PRATICIEN EN ANESTHESIE REANIMATION,le-praticien-en-anesthesie-reanimation,Print,Mensuel,1770,210 x 280,,,,8900 €,6052 €
le-quotidien-du-medecin::print,LE QUOTIDIEN DU MEDECIN,le-quotidien-du-medecin,Print,Hebdomadaire (chaque vendredi),40000,210 x 297,,,,16500 €,11220 €
le-quotidien-du-pharmacien::print,LE QUOTIDIEN DU PHARMACIEN,le-quotidien-du-pharmacien,Print,Hebdomadaire (chaque jeudi),20000,290 x 430,,,,16200 €,11016 €
les-cahiers-d-ophtalmologie::print,LES CAHIERS D'OPHTALMOLOGIE,les-cahiers-d-ophtalmologie,Print,Mensuel,5000,210 x 270,,,,4545 €,3091 €
les-nouvelles-de-la-boulangerie-patisserie::print,LES NOUVELLES DE LA BOULANGERIE-PATISSERIE,les-nouvelles-de-la-boulangerie-patisserie,Print,Bimensuel,4187,230 x 300,,,,3600 €,2448 €
les-nouvelles-esthetiques::print,LES NOUVELLES ESTHETIQUES,les-nouvelles-esthetiques,Print,Mensuel,15000,210 x 297,,,,4600 €,3128 €
les-routiers::print,LES ROUTIERS,les-routiers,Print,Mensuel,45000,210 x 297,,,,6600 €,4488 €
lettre-m2::print,LETTRE M2,lettre-m2,Print,Mensuel,1800,200 x 280,,,,3300 €,2244 €
lineaires::print,LINEAIRES,lineaires,Print,Mensuel,13000,200 x 270,,,,8855 €,6021 €
livres-hebdo::print,LIVRES HEBDO,livres-hebdo,Print,Mensuel,12000,205 x 265,,,,2900 €,1972 €
lja-la-lettre-des-juristes-d-affaires::print,LJA (LA LETTRE DES JURISTES D'AFFAIRES),lja-la-lettre-des-juristes-d-affaires,Print,Hebdomadaire,2000,175 x 235,,,,3000 €,2040 €
lja-le-magazine::print,LJA LE MAGAZINE,lja-le-magazine,Print,Bimestriel,3000,250 x 328,,,,3000 €,2040 €
loyers-et-copropriete::print,LOYERS ET COPROPRIETE,loyers-et-copropriete,Print,Mensuel,2500,210 x 297,,,,1600 €,1088 €
lumieres::print,LUMIERES,lumieres,Print,4 Numéros / an,3500,230 x 297,,,,3400 €,2312 €
lux-la-revue-de-l-eclairage::print,LUX LA REVUE DE L'ECLAIRAGE,lux-la-revue-de-l-eclairage,Print,Bimestriel,5000,230 x 297,,,,3200 €,2176 €
machines-production::print,MACHINES PRODUCTION,machines-production,Print,Mensuel,8000,210 x 297,,,,3360 €,2285 €
maires-de-france::print,MAIRES DE FRANCE,maires-de-france,Print,Mensuel,13692,210 x 280,,,,5500 €,3740 €
mat-environnement::print,MAT ENVIRONNEMENT,mat-environnement,Print,Mensuel,14000,195 x 260,,,,7000 €,4760 €
materiel-agricole::print,MATERIEL AGRICOLE,materiel-agricole,Print,Mensuel,38273,220 x 285,,,,8400 €,5712 €
materiel-paysage::print,MATERIEL & PAYSAGE,materiel-paysage,Print,Mensuel,4500,220 x 285,,,,5700 €,3876 €
medecine-et-enfance::print,MEDECINE ET ENFANCE,medecine-et-enfance,Print,Mensuel,7200,220 x 300,,,,8700 €,5916 €
medecine-therapeutique-pediatrie::print,MEDECINE THERAPEUTIQUE PEDIATRIE,medecine-therapeutique-pediatrie,Print,Trimestriel,1200,210 x 270,,,,5400 €,3672 €
medecine::print,MEDECINE,medecine,Print,Mensuel,6000,210 x 270,,,,7000 €,4760 €
media-cse::print,MEDIA CSE,media-cse,Print,Mensuel,20000,210 x 297,,,,5900 €,4012 €
mesures::print,MESURES,mesures,Print,Bimestriel,8500,210 x 297,,,,5775 €,3927 €
metal-flash::print,METAL FLASH,metal-flash,Print,5 Numéros / an,12800,210 x 297,,,,5967 €,4058 €
metal-industries::print,METAL INDUSTRIES,metal-industries,Print,6 Numéros / an,4400,210 x 297,,,,2353 €,1600 €
mon-oeil::print,MON OEIL !,mon-oeil,Print,2 Numéros / an,5000,210 x 297,,,,8000 €,5440 €
monde-de-l-epicerie-fine::print,MONDE DE L'EPICERIE FINE,monde-de-l-epicerie-fine,Print,Bimestriel,7000,200 x 265,,,,5850 €,3978 €
moteurs-reseaux::print,MOTEURS & RESEAUX,moteurs-reseaux,Print,Mensuel,3500,,,,,pas de tarif,pas de tarif
nephrologie-et-therapeutique::print,NEPHROLOGIE ET THERAPEUTIQUE,nephrologie-et-therapeutique,Print,7 Numéros / an,1400,210 x 280,,,,5800 €,3944 €
neurologies::print,NEUROLOGIES,neurologies,Print,Mensuel,3500,210 x 297,,,,8000 €,5440 €
neuropsychologie::print,NEUROPSYCHOLOGIE,neuropsychologie,Print,Trimestriel,3500,210 x 270,,,,4700 €,3196 €
notaires-vie-professionnelle::print,NOTAIRES VIE PROFESSIONNELLE,notaires-vie-professionnelle,Print,Bimestriel,20000,209 x 277 sans traits de coupe,,,,4700 €,3196 €
nutrition-infos::print,NUTRITION INFOS,nutrition-infos,Print,Bimestriel,6000,210 x 297,,,,6750 €,4590 €
objectif-soins-et-management::print,OBJECTIF SOINS ET MANAGEMENT,objectif-soins-et-management,Print,Trimestriel,10000,210 x 297,,,,5800 €,3944 €
onko::print,ONKO +,onko,Print,Mensuel,3000,210 x 297,,,,8000 €,5440 €
opa-pratique::print,OPA PRATIQUE,opa-pratique,Print,Mensuel,8603,295 x 440,,,,9600 €,6528 €
option-bio::print,OPTION BIO,option-bio,Print,Bimestriel,5000,210 x 297,,,,6580 €,4474 €
option-finance::print,OPTION FINANCE,option-finance,Print,Hebdomadaire (chaque lundi),29000,204 x 280,,,,13000 €,8840 €
pediatrie-pratique::print,PEDIATRIE PRATIQUE,pediatrie-pratique,Print,Mensuel,8902,295 x 440,,,,9600 €,6528 €
petmarket-magazine::print,PETMARKET MAGAZINE,petmarket-magazine,Print,Mensuel,4026,206 x 265,,,,4400 €,2992 €
pharma-365::print,PHARMA 365,pharma-365,Print,Mensuel,18000,210 x 297,,,,6900 €,4692 €
pharmacie-rurale::print,PHARMACIE RURALE,pharmacie-rurale,Print,Bimestriel,7500,210 x 297,,,,3950 €,2686 €
pharmacien-business::print,PHARMACIEN BUSINESS,pharmacien-business,Print,Mensuel,13000,210 x 270,,,,10900 €,7412 €
phytoma::print,PHYTOMA,phytoma,Print,Mensuel,4000,210 x 297,,,,4600 €,3128 €
pic::print,PIC,pic,Print,Bimestriel,19044,210 x 297,,,,4500 €,3060 €
pierre-actual::print,PIERRE ACTUAL,pierre-actual,Print,Mensuel,2500,180 x 270,,,,1525 €,1037 €
piscines-spas-jardins::print,"PISCINES, SPAS & JARDINS",piscines-spas-jardins,Print,Trimestriel,7205,210 x 297,,,,2960 €,2013 €
points-de-vente::print,POINTS DE VENTE,points-de-vente,Print,Mensuel,5203,210 x 297,,,,5460 €,3713 €
porc-magazine::print,PORC MAGAZINE,porc-magazine,Print,Mensuel,5720,200 x 260,,,,4100 €,2788 €
porphyre::print,PORPHYRE,porphyre,Print,Mensuel,10000,210 x 297,,,,6600 €,4488 €
prescription-beton::print,PRESCRIPTION BETON,prescription-beton,Print,5 Numéros / an,8000,195 x 260,,,,7000 €,4760 €
prevention-btp::print,PREVENTION BTP,prevention-btp,Print,Mensuel,7142,210 x 297,,,,4100 €,2788 €
private-equity::print,PRIVATE EQUITY,private-equity,Print,Mensuel,5000,210 x 297,,,,4950 €,3366 €
procedures::print,PROCEDURES,procedures,Print,Mensuel,1600,210 x 297,,,,1600 €,1088 €
process-alimentaire::print,PROCESS ALIMENTAIRE,process-alimentaire,Print,Mensuel,7834,200 x 270,,,,5100 €,3468 €
production-laitiere-moderne::print,PRODUCTION LAITIERE MODERNE,production-laitiere-moderne,Print,Mensuel,16690,210 x 297,,,,5130 €,3488 €
produits-de-la-mer::print,PRODUITS DE LA MER,produits-de-la-mer,Print,Mensuel,5000,230 x 280,,,,3990 €,2713 €
produits-equipements-industriels::print,PRODUITS EQUIPEMENTS INDUSTRIELS,produits-equipements-industriels,Print,Mensuel,39477,210 x 285,,,,7700 €,5236 €
profession-achat::print,PROFESSION ACHAT,profession-achat,Print,4 Numéros / an,20000,,,,,4200 €,2856 €
profession-carrossier::print,PROFESSION CARROSSIER,profession-carrossier,Print,Trimestriel,6976,210 x 297,,,,3590 €,2441 €
profession-cgp::print,PROFESSION CGP,profession-cgp,Print,Trimestriel,8000,225 x 297,,,,8900 €,6052 €
profession-paysagiste::print,PROFESSION PAYSAGISTE,profession-paysagiste,Print,Bimestriel,5750,210 x 297,,,,3860 €,2625 €
profession-sage-femme::print,PROFESSION SAGE-FEMME,profession-sage-femme,Print,10 Numéros / an,5500,210 x 297,,,,2750 €,1870 €
projet-paysage-s::print,PROJET PAYSAGE(S),projet-paysage-s,Print,Bimestriel,7500,,,,,3860 €,2625 €
protection-securite-magazine::print,PROTECTION SECURITE MAGAZINE,protection-securite-magazine,Print,Bimestriel,17734,210 x 297,,,,4500 €,3060 €
psychologues::print,PSYCHOLOGUES,psychologues,Print,Bimestriel,8000,210 x 297,,,,2400 €,1632 €
rayon-boissons::print,RAYON BOISSONS,rayon-boissons,Print,Mensuel,9050,210 x 285,,,,5610 €,3815 €
recueil-dalloz::print,RECUEIL DALLOZ,recueil-dalloz,Print,Hebdomadaire,2550,210 x 297,,,,4900 €,3332 €
recyclage::print,RECYCLAGE,recyclage,Print,Bimestriel,7500,210 x 270,,,,6599 €,4487 €
reference-carrelage::print,REFERENCE CARRELAGE,reference-carrelage,Print,Bimestriel,4995,210 x 297,,,,4495 €,3057 €
regions-magazine-collectivites-locales::print,REGIONS MAGAZINE (COLLECTIVITES LOCALES),regions-magazine-collectivites-locales,Print,Trimestriel,20000,160 x 225,,,,6300 €,4284 €
regions-magazine-dirigeants-de-tpe-pme::print,REGIONS MAGAZINE (DIRIGEANTS DE TPE/PME),regions-magazine-dirigeants-de-tpe-pme,Print,Trimestriel,20000,196 x 268,,,,6300 €,4284 €
relation-client::print,RELATION CLIENT,relation-client,Print,4 Numéros / an,13500,210 x 280,,,,7000 €,4760 €
relations-culture::print,RELATIONS CULTURE,relations-culture,Print,Bimestriel,8600,200 x 270,,,,3700 €,2516 €
reperes-en-geriatrie::print,REPERES EN GERIATRIE,reperes-en-geriatrie,Print,Mensuel,5000,210 x 297,,,,8000 €,5440 €
reseaux-vrd-lignes-canalisations::print,RESEAUX VRD LIGNES & CANALISATIONS,reseaux-vrd-lignes-canalisations,Print,Mensuel,9600,195 x 260,,,,7000 €,4760 €
restauration-collective::print,RESTAURATION COLLECTIVE,restauration-collective,Print,Mensuel,12000,210 x 297,,,,5800 €,3944 €
reussir-bovins::print,REUSSIR BOVINS,reussir-bovins,Print,Mensuel,22500,200 x 285,,,,5210 €,3543 €
reussir-fruits-legumes::print,REUSSIR FRUITS & LEGUMES,reussir-fruits-legumes,Print,Mensuel,7750,200 x 285,,,,4350 €,2958 €
reussir-grandes-cultures::print,REUSSIR GRANDES CULTURES,reussir-grandes-cultures,Print,Mensuel,55000,200 x 285,,,,10510 €,7147 €
reussir-la-chevre::print,REUSSIR LA CHEVRE,reussir-la-chevre,Print,Bimestriel,4000,200 x 285,,,,2580 €,1754 €
reussir-lait::print,REUSSIR LAIT,reussir-lait,Print,Mensuel,33500,200 x 285,,,,7780 €,5290 €
reussir-patre::print,REUSSIR PATRE,reussir-patre,Print,Mensuel,5500,200 x 285,,,,3840 €,2611 €
reussir-porc::print,REUSSIR PORC,reussir-porc,Print,Mensuel,4150,200 x 285,,,,3840 €,2611 €
reussir-vigne::print,REUSSIR VIGNE,reussir-vigne,Print,Mensuel,19500,200 x 285,,,,5650 €,3842 €
reussir-volailles::print,REUSSIR VOLAILLES,reussir-volailles,Print,Mensuel,3750,200 x 285,,,,3490 €,2373 €
revue-banque::print,REVUE BANQUE,revue-banque,Print,Mensuel,9100,210 x 297,,,,5900 €,4012 €
revue-de-la-pratique-avancee::print,REVUE DE LA PRATIQUE AVANCEE,revue-de-la-pratique-avancee,Print,Trimestriel,5000,,,,,8700 €,5916 €
revue-des-collectivites-locales::print,REVUE DES COLLECTIVITES LOCALES,revue-des-collectivites-locales,Print,Trimestriel,18000,215 x 270,,,,5800 €,3944 €
revue-des-maladies-respiratoires::print,REVUE DES MALADIES RESPIRATOIRES,revue-des-maladies-respiratoires,Print,Mensuel,3400,210 x 280,,,,10300 €,7004 €
revue-hospitaliere-de-france::print,REVUE HOSPITALIERE DE FRANCE,revue-hospitaliere-de-france,Print,Bimestriel,8000,210 x 297,,,,3800 €,2584 €
rh-m::print,RH&M,rh-m,Print,Trimestriel,4000,210 x 275,,,,3000 €,2040 €
rhumatos::print,RHUMATOS,rhumatos,Print,Mensuel,3000,210 x 297,,,,8000 €,5440 €
ria-la-revue-de-l-industrie-agroalimentaire::print,RIA (LA REVUE DE L'INDUSTRIE AGROALIMENTAIRE),ria-la-revue-de-l-industrie-agroalimentaire,Print,Mensuel,7891,220 x 285,,,,5280 €,3590 €
route-actualite::print,ROUTE ACTUALITE,route-actualite,Print,Bimestriel,6000,210 x 290,,,,9087 €,6179 €
rungis-actualites::print,RUNGIS ACTUALITES,rungis-actualites,Print,Mensuel,25000,210 x 297,,,,7000 €,4760 €
rvi::print,RVI,rvi,Print,Bimestriel,10000,210 x 297,,,,4900 €,3332 €
salles-propres::print,SALLES PROPRES,salles-propres,Print,Bimestriel,4600,230 x 300,,,,5187 €,3527 €
sante-travail::print,SANTE&TRAVAIL,sante-travail,Print,Trimestriel,42000,200 x 270,,,,3600 €,2448 €
services-proprete::print,SERVICES PROPRETE,services-proprete,Print,6 Numéros / an,5350,210 x 270,,,,5772 €,3925 €
servir-alumni-de-l-ena-et-de-l-insp::print,SERVIR - ALUMNI DE L'ENA ET DE L'INSP,servir-alumni-de-l-ena-et-de-l-insp,Print,Mensuel,9000,200 x 253,,,,9100 €,6188 €
silicon::print,SILICON,silicon,Print,Trimestriel,8000,210 x 280,,,,7300 €,4964 €
smart-dsi::print,SMART DSI,smart-dsi,Print,Trimestriel,8000,210 x 297,,,,2640 €,1795 €
smart-integrations::print,SMART INTEGRATIONS,smart-integrations,Print,3 Numéros / an,6000,210 x 297,,,,3200 €,2176 €
snacking::print,SNACKING,snacking,Print,Bimestriel,61219,210 x 297,,,,6100 €,4148 €
snptes::print,SNPTES,snptes,Print,Trimestriel,13000,210 x 297,,,,2500 €,pas de tarif
soudage-et-techniques-connexes::print,SOUDAGE ET TECHNIQUES CONNEXES,soudage-et-techniques-connexes,Print,Bimestriel,3000,216 x 303,,,,1800 €,1224 €
sporteco::print,SPORTECO,sporteco,Print,Mensuel,8000,243 X 340,,,,3200 €,2176 €
strategie-logistique::print,STRATEGIE LOGISTIQUE,strategie-logistique,Print,Bimestriel,7000,200 x 283,,,,5000 €,3400 €
strategies::print,STRATEGIES,strategies,Print,Hebdomadaire (chaque jeudi),11337,210 x 270,,,,9200 €,6256 €
supply-chain-magazine::print,SUPPLY CHAIN MAGAZINE,supply-chain-magazine,Print,Mensuel,12072,210 x 297,,,,5500 €,3740 €
technic-baie::print,TECHNIC'BAIE,technic-baie,Print,Trimestriel,11000,210 x 297,,,,5317 €,3616 €
terrains-de-sports::print,TERRAINS DE SPORTS,terrains-de-sports,Print,Bimestriel,5700,,,,,3860 €,2625 €
terrassements-carrieres::print,TERRASSEMENTS & CARRIERES,terrassements-carrieres,Print,Bimestriel,8000,195 x 260,,,,7000 €,4760 €
terre-net::print,TERRE NET,terre-net,Print,Bimestriel,50000,200 x 270,,,,8750 €,5950 €
territoire-hydrogene::print,TERRITOIRE  HYDROGENE,territoire-hydrogene,Print,Trimestriel,20000,210 x 297,,,,11000 €,7480 €
thuries-gastronomie-magazine::print,THURIES GASTRONOMIE MAGAZINE,thuries-gastronomie-magazine,Print,Mensuel,15000,230 x 300,,,,5000 €,3400 €
toiture-magazine::print,TOITURE MAGAZINE,toiture-magazine,Print,Trimestriel,20000,210 x 297,,,,11276 €,7668 €
tolerie-magazine::print,TOLERIE MAGAZINE,tolerie-magazine,Print,Mensuel,4350,210 x 297,,,,2530 €,1720 €
traitements-materiaux::print,TRAITEMENTS & MATERIAUX,traitements-materiaux,Print,Trimestriel,2000,210 x 297,,,,3150 €,2142 €
traits-urbains::print,TRAITS URBAINS,traits-urbains,Print,Mensuel,6500,210 x 280,,,,3500 €,2380 €
transport-info::print,TRANSPORT INFO,transport-info,Print,Mensuel,13000,230 x 305,,,,6850 €,4658 €
trends::print,TRENDS,trends,Print,Bimestriel,20000,240 x 330,,,,5700 €,3876 €
turbulances::print,TURBULANCES,turbulances,Print,Trimestriel,4500,210 x 297,,,,2800 €,1904 €
union-presse::print,UNION PRESSE,union-presse,Print,Mensuel,12000,210 x 280,,,,4840 €,3291 €
urbanisme::print,URBANISME,urbanisme,Print,Bimestriel,8750,230 x 300,,,,3000 €,2040 €
valeurs-vertes::print,VALEURS VERTES,valeurs-vertes,Print,Trimestriel,8000,210 x 297,,,,4950 €,3366 €
verre-menuiserie-actualites::print,VERRE & MENUISERIE ACTUALITES,verre-menuiserie-actualites,Print,Bimestriel,10000,210 x 297,,,,3200 €,2176 €
verre-protections-mag::print,VERRE & PROTECTIONS MAG,verre-protections-mag,Print,Bimestriel,8000,210 x 297,,,,3400 €,2312 €
viande-magazine::print,VIANDE MAGAZINE,viande-magazine,Print,Trimestriel,3800,200 x 285,,,,3430 €,pas de tarif
ville-rail-transports::print,"VILLE,RAIL&TRANSPORTS",ville-rail-transports,Print,Mensuel,10000,182 x 257,,,,7500 €,5100 €
virologie::print,VIROLOGIE,virologie,Print,Bimestriel,1000,210 x 270,,,,4500 €,3060 €
viti::print,VITI,viti,Print,Mensuel,20000,190 x 270,,,,5530 €,3760 €
vitisbio::print,VITISBIO,vitisbio,Print,Trimestriel,11300,210 x 297,,,,6980 €,4746 €
vocation-enseignant::print,VOCATION ENSEIGNANT,vocation-enseignant,Print,Semestriel,25000,148 x 210,,,,5200 €,3536 €
vocation-service-public::print,VOCATION SERVICE PUBLIC,vocation-service-public,Print,Semestriel,25000,148 x 210,,,,5200 €,3536 €
weka::print,WEKA,weka,Print,Mensuel,12000,200 x 260,,,,3620 €,2462 €
what-s-up-doc::print,WHAT'S UP DOC,what-s-up-doc,Print,Trimestriel,18000,210 x 290,,,,5300 €,3604 €
workplace::print,WORKPLACE,workplace,Print,8 Numéros / an,5500,210 x 270,,,,5447 €,3704 €
abcdent-pro::web::300x600-300x250mobile,ABCDENT.PRO,abcdent-pro,Web,,,,63000,252000,,1578 €,1341 €
abcdent-pro::web::728x90-320x50mobile,ABCDENT.PRO,abcdent-pro,Web,,,,63000,252000,,1578 €,1341 €
acteurs-publics::web::1000x90-300x600-300x250mobile,ACTEURS PUBLICS,acteurs-publics,Web,,,,330000,450000,,pas de tarif,pas de tarif
action-co::web::1000x90-300x600,ACTION CO,action-co,Web,,,,25000,38000,,pas de tarif,pas de tarif
agefi::web::1000x90-300x600-300x250mobile,AGEFI,agefi,Web,,,,160000,250000,,pas de tarif,pas de tarif
app-ines::web::300x600,APP'INES,app-ines,Web,,,,12500,25000,,800 €,680 €
architectures-a-vivre::web::300x600,ARCHITECTURES A VIVRE,architectures-a-vivre,Web,,,,25903,76254,,1200 €,1020 €
architectures-a-vivre::web::970x70,ARCHITECTURES A VIVRE,architectures-a-vivre,Web,,,,25903,76254,,1400 €,1190 €
au-coeur-du-chr::web::1800x180-300x180mobile,AU COEUR DU CHR,au-coeur-du-chr,Web,,,,16000,40000,,3200 €,2720 €
batiactu::web::728x90-300x600-300x250mobile,BATIACTU,batiactu,Web,,,,450000,930000,,pas de tarif,pas de tarif
batirama::web::728x90floorad-300x600-300x250mobile,BATIRAMA,batirama,Web,,,,130000,220000,,pas de tarif,pas de tarif
batiweb::web::1000x90-300x250,BATIWEB,batiweb,Web,,,,110000,350000,,pas de tarif,pas de tarif
be-a-boss::web::1000x90-300x600-300x250mobile,BE A BOSS,be-a-boss,Web,,,,115000,180000,,pas de tarif,pas de tarif
biblond::web::300x600-300x250mobile,BIBLOND,biblond,Web,,,,65000,110000,,1750 €,1488 €
biblond::web::728x90,BIBLOND,biblond,Web,,,,65000,110000,,1750 €,1488 €
caducee::web::728x90floorad-300x600-300x250mobile,CADUCEE,caducee,Web,,,,90000,220000,,pas de tarif,pas de tarif
carrieres-juridiques::web::728x90-300x600,CARRIERES JURIDIQUES,carrieres-juridiques,Web,,,,14000,25000,,pas de tarif,pas de tarif
challenges::web::1000x90-300x600-300x250mobile,CHALLENGES,challenges,Web,,,,4400000,10000000,,pas de tarif,pas de tarif
chaud-froid-performance::web::300x250,CHAUD FROID PERFORMANCE,chaud-froid-performance,Web,,,,29000,65000,,1882 €,1600 €
chaud-froid-performance::web::728x90,CHAUD FROID PERFORMANCE,chaud-froid-performance,Web,,,,29000,65000,,2235 €,1900 €
compta-facile::web::728x90-300x600-300x250mobile,COMPTA FACILE,compta-facile,Web,,,,250000,380000,,pas de tarif,pas de tarif
compta-online::web::1000x200-300x600-300x250mobile,COMPTA ONLINE,compta-online,Web,,,,400000,800000,,pas de tarif,pas de tarif
culture-rh::web::300x600,CULTURE RH,culture-rh,Web,,,,200000,285000,,1955 €,1662 €
culture-rh::web::1100x250,CULTURE RH,culture-rh,Web,,,,200000,285000,,2281 €,1938 €
d-architectures::web::728x90-250x250mobile,D'ARCHITECTURES,d-architectures,Web,,,,50000,150000,,3125 €,2656 €
daf-mag::web::1000x90-300x600-300x250mobile,DAF MAG,daf-mag,Web,,,,30000,50000,,pas de tarif,pas de tarif
decideurs-strategie-finance-et-droit::web::1002x128floorad-300x600-300x250mobile,DECIDEURS STRATEGIE FINANCE ET DROIT,decideurs-strategie-finance-et-droit,Web,,,,78000,109000,,pas de tarif,pas de tarif
