support,support_slug,categorie,lectorat,canal,NEW_01_Supports_Variants 2
DIABETE ET OBESITE,diabete-et-obesite,Endocrinologie - Diabétologie,"Diabétologues, endocrinologues",Print,diabete-et-obesite::print
DIABETOLOGIE PRATIQUE,diabetologie-pratique,Endocrinologie - Diabétologie,"Diabète, medecine",Print,diabetologie-pratique::print
DIRECTION,direction,Education,"Magazine édité par le SNPDEN. Proviseurs, proviseurs adjoints, Principaux, Principaux adjoints",Print,direction::print
DIRECTION(S),direction-s,Social,"Etablissements et services pour personnes âgées, Etablissements et services pour adultes handicapés, Etablissements et services pour l'enfance et la jeunesse handicapée","Print,Web","direction-s::print,direction-s::web::300x250,direction-s::web::728x90"
DROIT DE LA FAMILLE,droit-de-la-famille,Professionnels du droit,"Avocats, Notaires, Professeurs, Juristes d'associations et fondations, administrations",Print,droit-de-la-famille::print
DROIT & PATRIMOINE,droit-patrimoine,Professionnels du droit,"Universitaire, notaires, avocats, juriste d'entreprise, gestionnaires de patrimoine…",Print,droit-patrimoine::print
DROIT PENAL,droit-penal,Professionnels du droit,"Avocats, Avocats aux conseils, Magistrats, Professeurs, Juristes d'organisations professionnelles",Print,droit-penal::print
DYNAMIQUE ENTREPRENEURIALE,dynamique-entrepreneuriale,Dirigeants de TPE/PME,Dirigeants de TPE et entrepreneurs,Print,dynamique-entrepreneuriale::print
DYNAMIQUE MAG,dynamique-mag,Dirigeants de TPE/PME,Dirigeants de TPE/PME et créateurs,"Web,NL","dynamique-mag::web::728x90floorad-300x600-300x250mobile,dynamique-mag::nl"
ECO RESEAU,eco-reseau,Dirigeants de TPE/PME,"Dirigeant d'entreprises (Grandes Entreprises, ETI, PME, PMI, TPE), Hauts responsables, hauts fonctionnaires, cadres dirigeants",Print,eco-reseau::print
ECOMMERCE,ecommerce,"Communication, Publicité","Annonceurs, agences de communication, agences de publicités, agences médias, régies publicitaires, médias",Print,ecommerce::print
ECOMMERCE MAG,ecommerce-mag,"Communication, Publicité",Professionnels du ecommerce,"Web,NL","ecommerce-mag::web::728x90-300x600,ecommerce-mag::nl"
EDUC'MAG,educ-mag,Education,"Enseignants du second degré, chef d'etablissement, gestionnaires, conseillers d'orientation, documentalistes, assistantes sociales, CPE, service du ministre, académies, administration du département et de la région",Print,educ-mag::print
EGORA,egora,Médecins Généralistes,100% Médecins Généralistes libéraux,"Print,Web,NL","egora::print,egora::web::300x600-300x250mobile,egora::web::970x250-320x50mobile,egora::nl"
EGORA (ETHIQUE),egora-ethique,Médecins Généralistes,Médecins généralistes et spécialistes,Web,"egora-ethique::web::728x90-300x250,egora-ethique::web::300x600"
ELECTRICIEN +,electricien,Bâtiment - Artisanat,"Développeurs des nouveaux usages de l'électricité dans le résidentiel et le petit tertiaire, négoce, électriciens",Print,electricien::print
ELECTRICIEN 3E + J3E,electricien-3e-j3e,Bâtiment - Artisanat,"Prescripteurs, installateurs et exploitants d'équipements électriques","Web,NL","electricien-3e-j3e::web::728x90-300x600-300x250mobile,electricien-3e-j3e::nl"
ELECTRONIQUES,electroniques,Télecom/Electronique,"41% Ingénieurs, BE. 29% Chefs de service. 15% PDG/DG. 8% Techniciens. 5% Achats. 2% Autres",Print,electroniques::print
EMARKETING,emarketing,"Communication, Publicité","Annonceurs, agences de communication, agences de publicités, agences médias, régies publicitaires, médias",Print,emarketing::print
ENERGIE PLUS,energie-plus,Energies,"Bureaux d'études, conseils, audits énergétiques, fournisseurs d'équipement, vendeurs d'énergie, fournisseurs de services énergétiques",Print,energie-plus::print
ENTREPRENDRE,entreprendre,Dirigeants de TPE/PME,"Cadres dirigeants, décideurs et entrepreneurs",Print,entreprendre::print
ENTREPRENEURS DES TERRITOIRES,entrepreneurs-des-territoires,Agriculture,"Entreprises de travaux agricoles, forestiers et ruraux",Print,entrepreneurs-des-territoires::print
ENTRETIEN TEXTILE,entretien-textile,Services,"3% loueurs de linge, 20 % blanchisseurs industrielles, 18 % blanchisseries hospitalière, 9% blanchisseries ESAT, 10 % fonction linge (santé, hôtelleries…), 40% Pressings et laveries","Print,Web,NL","entretien-textile::print,entretien-textile::web::200x200,entretien-textile::web::728x90-320x100mobile,entretien-textile::nl"
ENVIES NOMADES,envies-nomades,Hôtellerie-Restauration,"Professionnels des restaurations rapide, italienne et à emporter, de la distribution automatique et du snacking en tout genre.",Print,envies-nomades::print
ENVIRONNEMENT ET RISQUES SANTE,environnement-et-risques-sante,Médecine du Travail,"Médecine du travail, ingénieurs en entreprise, responsables environnement dans les maires et collectivités régionales",Print,environnement-et-risques-sante::print
ENVIRONNEMENT MAGAZINE,environnement-magazine,Environnement,"36% ingénieurs, 30% directeurs, 27% élus","Print,Web,NL","environnement-magazine::print,environnement-magazine::web::970x250,environnement-magazine::nl"
ESPACE PUBLIC & PAYSAGE,espace-public-paysage,Collectivités locales,Collectivités (services techniques et espaces verts),Print,espace-public-paysage::print
ESSOR DE LA GENDARMERIE NATIONALE,essor-de-la-gendarmerie-nationale,Gendarmerie,Gendarmes,Print,essor-de-la-gendarmerie-nationale::print
ESTETICA,estetica,Coiffure,Professionnels de la coiffure,Print,estetica::print
ETANCHEITE.INFO,etancheite-info,Bâtiment - Artisanat,"Professionnels de l'isolation. 35% architectes, 10% bureaux d'études, 10% entreprises certifiées Qualibat, 10% économistes","Print,Web,NL","etancheite-info::web::728x90,etancheite-info::web::300x250,etancheite-info::nl,etancheite-info::print"
EUROPE PARLEMENTAIRE,europe-parlementaire,Politique,"12% dirigeants grande entreprise et direction d'investissement,12% organismes consulaires et socio-économiques; 14% membre des cabinets et DGS; 16% ministres et hauts fonctionnaires; 12% élus locaux; 28% élus nationaux; 5% élus européens francophone; 1% divers",Print,europe-parlementaire::print
EXE,exe,Architecture - Urbanisme,"Architectes et maîtres d'œuvres, agences d'architecture, bureaux d'études, ingénieurs conseils, constructeurs et entrepreneurs",Print,exe::print
EXPRESSION COSMETIQUE,expression-cosmetique,Industrie : cosmétique,Professionnels de l'industrie cosmétique et de la parfumerie,Print,expression-cosmetique::print
EXPRESSIONS PHARMA,expressions-pharma,Pharmaciens,"Pharmaciens titulaires, pharmaciens d'officines, équipes officinales",Print,expressions-pharma::print
FENETRES S/ COURS,fenetres-s-cours,Education,Magazine édité par le SNUIPP. Professeurs des écoles de maternelles et élémentaires,Print,fenetres-s-cours::print
FILIERES AVICOLES,filieres-avicoles,Agriculture,Éleveurs et fournisseurs,Print,filieres-avicoles::print
FLOTTES AUTOMOBILES,flottes-automobiles,Responsables flottes,Gestionnaires de flotte automobile,"Print,Web,NL","flottes-automobiles::print,flottes-automobiles::web::300x600-300x250mobile,flottes-automobiles::web::728x90,flottes-automobiles::nl"
FLUIDES ET TRANSMISSIONS,fluides-et-transmissions,Industrie : technologie,"Décideurs, prescripteurs, acheteurs auprès des entreprises de production, de distribution et de services directement concernées par l'ensemble des techniques et des produits liées à la transmission de puissance",Print,fluides-et-transmissions::print
FRANCE PIZZA,france-pizza,Hôtellerie-Restauration,"Pizzerias, traiteurs italiens, professionnels de la restauration italienne",Print,france-pizza::print
FRANCE ROUTES,france-routes,Artisans transporteurs,"Responsables techniques 12%, Conducteurs 72%, Chefs d'entreprises et artisans transporteurs 16%,","Print,Web,NL","france-routes::print,france-routes::web::1000x90,france-routes::web::300x600-300x250mobile,france-routes::nl"
FROID NEWS,froid-news,Bâtiment - Artisanat,"Froid embarqué et froid stocké, cold chain, logistique urbaine durable et transport, etc",Print,froid-news::print
FUNDS MAGAZINE,funds-magazine,Professionnels de la finance,"Cadres dirigeants des départements Asset Management dans les secteurs banque / assurance, CGPI",Print,funds-magazine::print
FUNERAIRE MAGAZINE,funeraire-magazine,Distribution Spécialisée,"Pompes funèbres - Marbriers - Thanatopracteurs - Services municipaux (cimetière, état civil,...) - Syndicats professionnels - Associations - Centres de formation - Fabricants...",Print,funeraire-magazine::print
FUSACQ,fusacq,Dirigeants de TPE/PME,"40% repreneurs/entrepreneurs, 25% chefs d'entreprises (cédants et acquéreurs), 30 % experts de la reprise - transmission, 5% investisseurs","Web,NL","fusacq::web::728x90floorad-300x600-300x250mobile,fusacq::nl"
GENIE CLIMATIQUE,genie-climatique,Bâtiment - Artisanat,"Installateurs, maîtres d'œuvre, maîtres d'ouvrage, entreprises générales du bâtiment, négoce, distribution, constructeurs, grands utilisateurs industriels et tertiaires","Print,Web,NL","genie-climatique::print,genie-climatique::web::300x600-300x250mobile,genie-climatique::web::728x90,genie-climatique::nl"
GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DU VIEILLISSEMENT,geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement,Gériatrie,"Gérontologues, gériatres, médecins coordinateurs des maisons de retraire",Print,geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement::print
GEROSCOPIE,geroscopie,Gériatrie,"Décideurs en gérontologie : Directeurs de maisons de retraite, personnel d'encadrement, médecins gériatres, infirmières, responsables d'animation.","Print,Web,NL","geroscopie::print,geroscopie::web::263x237,geroscopie::web::728x90,geroscopie::nl"
GESTION DE FORTUNE,gestion-de-fortune,Professionnels de la finance,"Structures de gestion privée, cabinets indépendants, family offices, réseaux d'assurances, sociétés de gestion de portefeuilles, offices notariaux…",Print,gestion-de-fortune::print
GESTIONS HOSPITALIERES,gestions-hospitalieres,Hospitalier - Médecine Interne,"Directeurs d'établissements hospitaliers publics, services économiques, ressources humaines, services de soins infirmiers, directions de la qualité, ingénieurs, systèmes d'information, médecins chefs de service","Print,Web","gestions-hospitalieres::print,gestions-hospitalieres::web::1140x90"
GPO MAG,gpo-mag,Dirigeants de TPE/PME,"43% moyennes entreprises, 39% ETI, 11% petites entreprises, 7% grandes entreprises","Web,NL","gpo-mag::web::728x90floorad,gpo-mag::nl"
GRANDES CUISINES,grandes-cuisines,Distribution Spécialisée,"Installateurs distributeurs de matériel de cuisine professionnelle, concepteurs, bureaux d'études, prescripteurs et directions techniques d'établissements (hôtellerie, restauration) et collectivités, fabricants, importateurs",Print,grandes-cuisines::print
GREEN INNOVATION,green-innovation,Environnement,"27% Décideurs économiques, 21% Décideurs politiques, 34% Ingénieurs et techniciens, 12% Opinion makers",Print,green-innovation::print
GREEN TOUCH,green-touch,Environnement,"35% décideurs économiques, 30% décideurs politiques, 25% directeurs développement durable& energy manager, 10% opinion makers",Print,green-touch::print
GYNECOLOGIE OBSTETRIQUE PRATIQUE,gynecologie-obstetrique-pratique,Gynécologie,"Gynécologues Obstétriciens Libéraux et Hospitaliers, Médecins Généralistes à tendance gynécologie",Print,gynecologie-obstetrique-pratique::print
HEMATOLOGIE,hematologie,Hématologie,"Organe officiel de la Société française d'Hématologie. Cible: hématologues, immunologues, greffeurs, oncologues, biologistes, généticiens",Print,hematologie::print
HEPATO GASTRO ET ONCOLOGIE DIGESTIVE,hepato-gastro-et-oncologie-digestive,Gastroentérologie,"Revue officielle de la Société Nationale française de Gastroentérologie. Cible: gastroentérologues, et hépatologues",Print,hepato-gastro-et-oncologie-digestive::print
HONORE LE MAG,honore-le-mag,Boulangerie Pâtisserie,"Boulangers ""premium"" (artisans et décisionnaires des Réseaux et Franchises), Terminaux de cuisson, Centrales d'achats & Indépendants, Industriels de la BVP, Meuniers, Producteurs de matières premières, Labos GMS, Entreprises de services",Print,honore-le-mag::print
HOSPITALITY ON,hospitality-on,Hôtellerie-Restauration,"Hôteliers, investisseurs, promoteurs, fournisseurs, hôtels et restaurants, organismes financiers, organismes de formation, décideurs et managers du secteur",Print,hospitality-on::print
HYDROGENIUM,hydrogenium,Energies,"12% dirigeants grande entreprise et direction d'investissement,12% organismes consulaires et socio-économiques; 14% membre des cabinets et DGS; 16% ministres et hauts fonctionnaires; 12% élus locaux; 28% élus nationaux; 5% élus européens francophone; 1% divers",Print,hydrogenium::print
HYDROPLUS,hydroplus,Energies,"46% communes, 12% sociétés de distribution, 11% équipements, 9% industries, 9% administrations, 6% ensembliers, 4% ingénierie, 3% centres de recherche",Print,hydroplus::print
IMAGES EN DERMATOLOGIE,images-en-dermatologie,Dermatologie,"Dermatologues, internistes, onco-dermatologues hospitaliers et libéraux, internes",Print,images-en-dermatologie::print
