variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
l-auvergnat::print,L'AUVERGNAT,Print,Parution,02/02/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,20/03/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Parution,02/04/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,19/06/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Parution,03/06/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,15/07/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Parution,30/07/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,18/09/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Parution,01/10/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,19/11/2026,Bimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Parution,01/12/2026,Bimestriel,,
bati-actu::print,BATI ACTU,Print,Bouclage,04/05/2026,Trimestriel,,
bati-actu::print,BATI ACTU,Print,Parution,16/06/2026,Trimestriel,,
bati-actu::print,BATI ACTU,Print,Bouclage,10/08/2026,Trimestriel,,
bati-actu::print,BATI ACTU,Print,Parution,21/09/2026,Trimestriel,,
bati-actu::print,BATI ACTU,Print,Bouclage,12/10/2026,Trimestriel,,
bati-actu::print,BATI ACTU,Print,Parution,20/11/2026,Trimestriel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/12/2024,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/01/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/01/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/02/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/02/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/03/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/03/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/04/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/04/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/05/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/05/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/06/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Bouclage,25/06/2025,Mensuel,,
le-batiment-artisanal::print,LE BATIMENT ARTISANAL,Print,Parution,05/07/2025,Mensuel,,
