variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
artisans-bois::print,ARTISANS & BOIS,Print,Parution,12/12/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Bouclage,5/3/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Parution,31/3/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Bouclage,7/5/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Parution,30/5/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Bouclage,4/7/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Parution,29/7/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Bouclage,5/9/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Parution,30/9/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Bouclage,6/11/2025,Bimestriel,,
l-assmat::print,L'ASSMAT,Print,Parution,29/11/2025,Bimestriel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,10/1/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,20/3/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Parution,2/4/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,20/5/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Parution,3/6/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,15/7/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Parution,31/7/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,19/9/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Parution,1/10/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Bouclage,19/11/2025,Mensuel,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Parution,1/12/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,9/1/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,12/2/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,4/2/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,8/3/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,18/3/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,19/4/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,15/4/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,20/5/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,9/5/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,11/6/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,12/6/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,15/7/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,25/8/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,26/9/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,18/9/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,22/10/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,22/10/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Bouclage,13/11/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,26/11/2025,Mensuel,,
audio-infos::print,AUDIO INFOS,Print,Parution,17/12/2025,Mensuel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,28/2/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,21/3/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,16/5/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,6/6/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,19/9/2025,Trimestriel,,
