variant_slug,support,canal,fichier_integre,fichier_url,type_de_format,notes
bois-mag::print,BOIS MAG,Print,Bois Mag.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/MdnCslVY1EAF1uf5PNiINg/ikBCtrTIN30piWNJFJTArixAtmi1AwggjiYV35PzPkzNJjexz8HWEUwLYnQ-tCEtfDLFX3KAZNoodM7BXCirxMbheDG7BZhArgN9RhEh3lay4NqLbEKsSVVsyw0n9jGirBq1A57E0_TYLecehjAOw6PRUknODKFZt2h9H77KpmI/m3oPQFMaU5nPXTXY_u4J-2o7wAVbF7hs5AOKOJ2Qhv4),,,
bra-boisson-restauration-actualites-nouveau-nom-tendances-restauration::print,BRA (BOISSON RESTAURATION ACTUALITES) NOUVEAU NOM : TENDANCES RESTAURATION,Print,bra.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/qEiDCGQ4IJtjr4PP19zVtw/fb5JnbyBHceyMUxyerJ9CJprnRl7ReTbKJaUgN-aCkR3qmGkrcelMKyQMWAnXujQ8Fxkzg6T57nn96Vt1txjD5_PBLzl3KtkQH4-T30Tkp-d48y1LrDBsZZi0kRFRDxUg24tz3bh8ehx92KCW0oggA/rcc3lh-4Im1S3b_VYXm6l3eQuHN7RM3RRKZ8YgbkEIw),,,
btp-magazine::print,BTP MAGAZINE,Print,BTP Magazine.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/ii5oj23bKoMHbJm_L2L22Q/mAgx16edldnP8XtRoXGi8uEHF587Hl6eXE3W-vsj_WGRCj464vqK1EooIvherD8Xg8Z2JcLUjRh2XBQxyTA4XqytJSA-_8GN-99b2jU1Hke26r5HC6yMJMrJkf8oKXFUixtEsgz8prNqX_Gzoxzwy1Hik_vPlK0xAtPzUQHBwNc/fxruFNp8cojA5Ay5fuZCpJfcfA57_gUWbzrNrZD7YfI),,,
c-est-a-vous::print,C'EST A VOUS!,Print,c'est à vous.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/BaoEf_y7KdE5krbM7cSteA/ngk4wP2f98JkSakyuuCGvtNrpvFK6j8dkIc5J7OmahHRp9PR1TVcFbJ4uz_fPRA8X8hDE4XoeJICifqi4zVaM-oDiwVNRcPV2k2BX49w0bozIUhHkMH2o71odOECyTzTKS13jcAjTCNrxwBJhSz2r9zi-lYXZuTv0ow2MUDImiw/lOX5XabvBlEV8ylTiTZIOpIht-0E3mTgEVuPBAQeZWI),,,
cad-magazine::print,CAD MAGAZINE,Print,CAD Magazine.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/mNCvruWNLk91yBDHEzna8A/QjWZWMdNfGyWOxPHjnPzH-NkInqWO4rXe5LMPTkgcB6lhmeUKyyciZq3Cjcyly2971atydK4EFWQydApO_5QboWxZaf0mWdTHkxDVKj6XveId6stQzfUOOAwss8T3dKFRj2YY9fYPcJOWukn1Dv1xbgVmw256cSNTxyOFVTGy2I/1kHfu0nld9Q_lClS8G-zqLMfVK14Q9EZMSmOARl1H-g),,,
cahiers-de-nutrition-et-de-dietetique::print,CAHIERS DE NUTRITION ET DE DIETETIQUE,Print,Cahiers de Nutrition et de diététique.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/5cwO91Ubnpu_2C3INv_ntw/kEMC9qrTj-RQn4PNAUSK58UyLSjz8OfGY7qudUORY02F5jGM0ef3Lh1_uztu6YGJls0J41tAEu8BRJDt0pc_A9Y35ZMjVNEtR5b0j-ZiDdPmHd-jjRwq6iam9QotTAF25QY8Rmo45NlB4pHUOq6Zt46mHfG6uh_Nd6WCAMcEQ2NHsPO8B58WectHAimuRNbe/Yonz1VwWHY__qQr1QolmVRCALznIBbhuOrPK89h6azY),,,
cahiers-du-tourisme-et-du-fleurissement::print,CAHIERS DU TOURISME ET DU FLEURISSEMENT,Print,,,,
caps-infos::print,CAPS INFOS,Print,CAPS.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/9xNZyy9QWx3AMVpcgR3LFQ/4ir5Ngg_c36BEpJv5ClEo3el6OSP7XTrM-_qutGxKj9ACvshjgCADs90pp7v1v79Tkppy7rXJg3ziM4FbsiyOBfYSddeX0O7RUubJR53gVxVaXtS5c4ygSNY-P-XB-cAZWjEOlZaJkxO7X3WcmxAgw/qgn9gwfKn-DqGjr9zgkxDcPf4DMlkmNEhleGzZmfEF0),,,
cardiologie-pratique::print,CARDIOLOGIE PRATIQUE,Print,Cardiologie Pratique.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/y1aGL1TchzxNiYnBExAcNg/xqqPyRa8oAcXa32TFlOcOgm99fMkjZUj03J_v612yahiiRTdjFvjsTgZWiQe6M0tqaxaW0IyS7hGuy4JK1zAzM8tkP7rufK2wuqVI1grRqCh65OV1xwySz616D_dvmknXiyuZmDYjl3KLz-MMBThCir4RrnlCcNtSrx7YN7iP9Q/0wzKNOjKkm76zf2d2LM8Ykj-DNNWWVZHAIfTA7jggrI),,,
carrosserie::print,CARROSSERIE,Print,Carrosserie.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/ZNNcDFieHGJRmoM6nEXK5Q/Eq-9JCjQXDDYJIQ5JOoQafV3uT9C3UdG-fRCXz8dlUTG9o4XV0abI9fKTAgGy98-pmPhMiMaTj49u3sB8kWloLilSoFWwh7GZu7Q8xykDqHJr9FN5v83L3dFsch2GATMM2D2cgBH_N2tFJBsnOe6TmqxY3fEgZ7Z-hmocJLfUI8/125XruMobqFywqVUGiFqvhl_Ugj0KiMrF0fUtsuiTMQ),,,
cavistes-et-e-commerce::print,CAVISTES ET E-COMMERCE,Print,cavistes & ecommerce.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/DMNrkLfTdyTc1OlTTYwMxQ/Bo9AY1ci_n-Rtqc0PLuwLOZH0J1wmfWv-3RJoMy8_XJVh_ioopHnDXlECGgHwDBM9Er5Vq2RVBZ_Js9aGjn3MxfItp2NmtL5GvjO0s9tGz4TyjVdnZMfKJyN2VIu0wetG0aH42ZjSGVc59AnlYOi9tTZ4s2wgz909iXv6up1TZg/-4FXnODx62zYJbYCwI3xzwo3v9GDhLM1AJBGpVBav9E),,,
cb-news::print,CB NEWS,Print,CB News.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/Y7WQSCJUSJ_UTtdDzukNwA/9RkCnZt7zBIE7GdsDOf4fzq9og_P2xoPdOGwAkn_SVej1qHWck8NxQ8BMC2be8lOmV1VuU_5nLwyWYqE2BBG8nTXCkD12L2I4exsolPo9n5knMbjQpuV3tRu7YTSdPszgdjH0g0YsORQ9Ot74epOLmz_YuCpJAprYloN6AObgXQ/vuZUPWpvBLnW2XjUlbJ3dfDA1jdsjFfiAX1zjPD0EMg),,,
cem-controles-essais-mesures::print,CEM (CONTROLES ESSAIS MESURES),Print,CEM (Contrôles Essais Mesures).png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/g_i7TzB6dohIVlb8_lwOlw/5xn9Qg_wWu6BUqqxhQGAz-A43TwxUtqsgpvCCCxAoaExszTLEDDychKe1AvjmrFWF00ac2KJMPPhYyJ0yF23MoGP9M1IgoViZLbtEFMghLdZsVa7qmaj1mQkN2xJ_toApyJ_jShgKmfxxOkQDLxY0Yzi9fwskYN2d5iNS8t18hyG9S3sQ401xua9sV0ARfjP/32HOI67ORdWvDXzcM7Ga0Lm2E5zwgLc3S2iSz_-HAvk),,,
centres-aquatiques::print,CENTRES AQUATIQUES,Print,centres aqua.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/DVdGHUw_vJ_yVF4ar13qnw/Wz_ELV-RpedSZdOdjrzr1vqDuWFjcgX2OdgjmWLbqdfwmZcPVabeRfwewKYeglzx8AVuGoMqQeY5DwM3zQfl2GVVVaSizNbwKGjh3eX5eFylvk6buWegbEjKYKSGHR1bKxCMCImS-teuUdfctwfUt4zik26VK0VDJvkoUIhLQkk/2m7BX0iS2Ye4Re_Xop4XRLdD4dS98DZvUv9PS76HUh8),,,
cerveau-psycho::print,CERVEAU & PSYCHO,Print,cerveau psy.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/oahKDpVkgDCJ9TkeWWPlgQ/EQKg8WgpJu6XcDpL6vpAPP8uqGRS54IUmlncW2jJkN6cNJg1Vpu1rBQn6Ea1nqEzTWaQxtiXJdq93D9ImynR5TwoEQbCO3SfeevpYKJmyC--qCxeMS_vC8V5JhIwn68hRYvEI3Jo3kOx1sgxkh8Wh7WjTDo6WnsgczPdcyjj4MA/QAsGgpEk3vlllwjQbqWv1IcJKUF80ln564u37qsv-8U),,,
