variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
entrepreneurs-des-territoires::print,ENTREPRENEURS DES TERRITOIRES,entrepreneurs-des-territoires,Print,8 Numéros / an,20000,210 x 297,,,,6400,4352
entretien-textile::print,ENTRETIEN TEXTILE,entretien-textile,Print,Bimestriel,11555,210 x 297,,,,3550,2414
envies-nomades::print,ENVIES NOMADES,envies-nomades,Print,Bimestriel,15000,240 x 310,,,,4900,3332
environnement-et-risques-sante::print,ENVIRONNEMENT ET RISQUES SANTE,environnement-et-risques-sante,Print,Bimestriel,1400,210 x 270,,,,4400,2992
environnement-magazine::print,ENVIRONNEMENT MAGAZINE,environnement-magazine,Print,Mensuel,5775,195 x 260,,,,7000,4760
espace-public-paysage::print,ESPACE PUBLIC & PAYSAGE,espace-public-paysage,Print,Bimestriel,5675,210 x 297,,,,3860,2624.8
essor-de-la-gendarmerie-nationale::print,ESSOR DE LA GENDARMERIE NATIONALE,essor-de-la-gendarmerie-nationale,Print,Mensuel,16000,210 x 280,,,,5200,3536
estetica::print,ESTETICA,estetica,Print,7 Numéros / an,13000,226 x 298,,,,3400,2312
etancheite-info::print,ETANCHEITE.INFO,etancheite-info,Print,Trimestriel,11500,210 x 297,,,,5187,3527.16
exe::print,EXE,exe,Print,Trimestriel,8000,232 x 300,,,,6300,4284
expert::print,EXPERT,expert,Print,Trimestriel,10000,210 x 297,,,,2500,1700
expression-cosmetique::print,EXPRESSION COSMETIQUE,expression-cosmetique,Print,Bimestriel,5000,210 x 270,,,,6020,4093.6
expressions-pharma::print,EXPRESSIONS PHARMA,expressions-pharma,Print,Mensuel,16000,210 x 270,,,,9000,6120
fenetres-s-cours::print,FENETRES S/ COURS,fenetres-s-cours,Print,Mensuel,120000,148 x 210,,,,7300,4964
filieres-avicoles::print,FILIERES AVICOLES,filieres-avicoles,Print,Mensuel,6250,210 x 285,,,,3900,2652
flottes-automobiles::print,FLOTTES AUTOMOBILES,flottes-automobiles,Print,Mensuel,21000,240 x 340,,,,9900,6732
fluides-et-transmissions::print,FLUIDES ET TRANSMISSIONS,fluides-et-transmissions,Print,7 Numéros / an,5800,230 x 330,,,,3250,2210
france-pizza::print,FRANCE PIZZA,france-pizza,Print,Bimestriel,15000,210 x 297,,,,4400,2992
france-routes::print,FRANCE ROUTES,france-routes,Print,Mensuel,11155,210 x 297,,,,6500,4420
snacking::print,FRANCE SNACKING,snacking,Print,Bimestriel,,210 x 297,,,,6200,4216
franchise-mag::print,FRANCHISE MAG,franchise-mag,Print,3 numeros,,205 x 275,,,,3750,2550
froid-news::print,FROID NEWS,froid-news,Print,Bimestriel,8800,210 x 297,,,,2990,2033.2
funds-magazine::print,FUNDS MAGAZINE,funds-magazine,Print,Mensuel,6500,204 x 280,,,,7700,5236
funeraire-magazine::print,FUNERAIRE MAGAZINE,funeraire-magazine,Print,Mensuel,3000,210 x 297,,,,1525,1037
la-gazette-du-palais::print,GAZETTE DU PALAIS,la-gazette-du-palais,Print,Hebdomadaire,6000,220 x 307,,,,2180,1482.4
genie-climatique::print,GENIE CLIMATIQUE,genie-climatique,Print,Bimestriel,12000,210 x 270,,,,6487,4411.16
