variant_slug,support,canal,fichier_integre,fichier_url,type_de_format,notes
biologiste-infos::print,BIOLOGISTE INFOS,Print,BIOLOGISTE INFOS.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/qNu-uxBx6yPwMkYYNrB4gw/aV-lHdfKgWeWYQ-2gQAocwsO9KCmzuKfmYkWxELZzS5JqCfuO6z-5KuTL2lPqhzXgopDa93Bz8juxv0qfrgXO2sLlANDwe1c3-FeXiN4HYBSpOzPXv5Lo6RLDKJk5C64gTlsrxVnAwTiEFdv7O2sWVqtOeepNo6M-EyfLjDtnTw/q0KnrWFJnFEy8fbHgogApoKCY4O5bz0GI-Jtc8woJq0),,,
bois::print,BOIS +,Print,bois+.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/4TMhypMhrbIdg3JT-BbqTA/giUd0_eIIdOFpZAvzAeCvvIYPKJymsp85cbDpfNqXEW60FPQIOQFjvkzC7YUq0E3ke4F-o0z4ZodukyE_iUFfoRn1jOTgz6rfMnGwJdkWPAi8VlIXKb_ViMC1za-8OMmG4aJHLE0z1kJBA1vBBIVrw/gTNk511pXnIqgp06RWFsPU2R5Ktvr0MhJ-aTc3z0Rc4),,,
bois-mag::print,BOIS MAG,Print,Bois Mag.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/83i4muRLiI5c59xYCDpPxQ/pLDBVBzcVJJqe2-VJ5PIVD8Hh0H2cQrtqSrGkWxhl-ql2daHKtd8h72PQKcrgU3sBRFUgH98mEV6tfXyUAytB7IY4wdUWR9nOlG-M5_U1YXE366PWAWcDLSzLz32YUYDg3RUJdGJSv3uuSpmVNY55IGajCaTmXVnbvCrT-lq_Gg/j-PTUTopDi-3-WUrJbTx7gpTscDUFrJi4CQYp0uj8tk),,,
bra-boisson-restauration-actualites-nouveau-nom-tendances-restauration::print,BRA (BOISSON RESTAURATION ACTUALITES) NOUVEAU NOM : TENDANCES RESTAURATION,Print,bra.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/mxkz_cYfjqiFdMdMwRY78A/jiW4Jq6fs0brQY5M7uazTMOsxGhaZOlcOUpVmVaIdP70Ppz6FAPb_a1-L3pG-3QqAV0Jzk3HrZbU0QnvlbfOGgXeKuop082vxfp6QojmHbhGjMzexV6ZtPMcAFyN05rlcHRuTYRl32tzrD0omMYbIQ/42k6Vljn25PIwMhrI2BH3-TuLNJhyra9ZXJyusw1x3Y),,,
btp-magazine::print,BTP MAGAZINE,Print,BTP Magazine.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/zCR8gGksd0ZymU8BcPSa7Q/P8CbvzyADPSRizatDJwZyHOiWiwvPAzviz0gpWNHENdDN38qMsgaLsevtgIsAFNFkkvskAMCxV0E17faIQTwcW6h6iDb4GqtVJc9jK_9u2NfUnCfgLbhxH2yUqIqIXmkNqmIbBbh3uPdCfD5fmRtBclmtf72slKmbEw3aC78Rfw/a5dFI51kZYbKakKANu66wIM8eOC1Nj7G2ueS2_2RnlQ),,,
c-est-a-vous::print,C'EST A VOUS!,Print,c'est à vous.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/A4OvhFQU9b6P6AGxD1ZbUA/wX1pdrdAKu7b0QOD4YEqO7mUVt6ds9oP3vSO6SQidzlbqMQ_YQ2TSxE-sFE_ZvA3Z74zeVxGwp-erNkC23jX11-hPAlUZUc_gKS7HJiuZS3iZ7jCddL6qHoxAuaHCZUjn5hbepz1rrlIB4dEGZ1RUiezzOR8TrI4B73HBxyjHQg/jYmKzR-jDINaLzr4tYrY-agN2Ejig_p82euBtoZejYc),,,
cad-magazine::print,CAD MAGAZINE,Print,CAD Magazine.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/6uPM3Yso72h2evHZt7R6SA/sW3zz2v5M4ZtcfrfrWEsZzBecLcy8VNf-qY_C6rEufGP2EBGavHQLIJ_zTxDtS4X3ZQIm5rSMwuy-7JTA8KEMJ8bF1L51EjotJc5pDd6H0Yqhi-YHhqQ63oen3Aiu0bkf3dwz4Z7ypQsY5v_zhoVysZyKhHMzHs4bTfamgJhIWQ/fb8AVA4hohTaNDydXQbzTBoGFwBej6N7pVdpHRBxU2w),,,
cahiers-de-nutrition-et-de-dietetique::print,CAHIERS DE NUTRITION ET DE DIETETIQUE,Print,Cahiers de Nutrition et de diététique.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/GZHCt8ZpkQKz4kO3U7zClA/6Bca3imlphvfwLLZwHeEUqC0XfpihaZro6YHh3aFNXfd3PjsGyEKo1pPzrKj6_J-ZRntKsFxo4m49bv14Gm4TlQ1bdMtFQeWMvXN_yvudVEwjxUB-EBcXq10H7ar2TeruoqJ6GP_N3K2p8fqO9kcWe73T0JmKwy_0Q6vLDjpmlNdr-aEmMv8vcD_JpHjlLqB/YDALCUEEt9Q09MzArztko_quAHsAMaZWjBWwUE3Tqj4),,,
cahiers-du-tourisme-et-du-fleurissement::print,CAHIERS DU TOURISME ET DU FLEURISSEMENT,Print,,,,
caps-infos::print,CAPS INFOS,Print,CAPS.png (https://v5.airtableusercontent.com/v3/u/49/49/1769112000000/q1cejSUpLqMR249jhad-hQ/VQg6NAmM1oPqmz9UtsG5pRsS5XBgIJZGxpsSnzTj03s7uC9YcI2I8K7lz0LO8fIwwSvpty2ilnHHeSlygk5uHJHa-q08DgMm8Ipu_1vaOqVoUaJc8QKFQUzH4vMBVT-Cph0xIglKDvzv1s7sjVleAA/nmE2Z32_ebgqvnr2XE_gJ9u0tqCbAQ_8s-ZAHl8dZpw),,,
